Year,Sex,Age Group,Race or Ethnicity,Selected Cause of Death,Deaths
2003,F,85+,Hispanic,Malignant Neoplasms,3252
2003,F,85+,Hispanic,All Other Causes,7391
2003,F,85+,Hispanic,Diseases of the Heart,16000
2003,F,85+,Hispanic,Total,32091
2003,F,85+,Other Non Hispanic,All Other Causes,1
2003,F,85+,Other Non Hispanic,Diseases of the Heart,2
2003,F,85+,Other Non Hispanic,Total,3
2003,F,85+,White Non Hispanic,Accidents,2
2003,F,85+,White Non Hispanic,Cerebrovascular Disease,2
2003,F,85+,White Non Hispanic,Pneumonia,2
2003,F,85+,White Non Hispanic,Malignant Neoplasms,5
2003,F,85+,White Non Hispanic,All Other Causes,20
2003,F,85+,White Non Hispanic,Diseases of the Heart,22
2003,F,85+,White Non Hispanic,Total,53
2003,F,<1,Hispanic,CLRD,1
2003,F,<1,Hispanic,Cerebrovascular Disease,3
2003,F,<1,Hispanic,Malignant Neoplasms,3
2003,F,<1,Hispanic,Pneumonia,5
2003,F,<1,Hispanic,Accidents,12
2003,F,<1,Hispanic,Diseases of the Heart,13
2003,F,<1,Hispanic,All Other Causes,633
2003,F,<1,Hispanic,Total,670
2003,F,<1,White Non Hispanic,All Other Causes,2
2003,F,<1,White Non Hispanic,Total,2
2003,M,1-9,Hispanic,AIDS,2
2003,M,1-9,Hispanic,Cerebrovascular Disease,4
2003,M,1-9,Hispanic,Pneumonia,5
2003,M,1-9,Hispanic,CLRD,7
2003,M,1-9,Hispanic,Diseases of the Heart,16
2003,M,1-9,Hispanic,Malignant Neoplasms,31
2003,M,1-9,Hispanic,Accidents,47
2003,M,1-9,Hispanic,All Other Causes,77
2003,M,1-9,Hispanic,Total,189
2003,M,10-19,Black Non Hispanic,All Other Causes,1
2003,M,10-19,Black Non Hispanic,Accidents,2
2003,M,10-19,Black Non Hispanic,Total,3
2003,M,10-19,Hispanic,Pneumonia,2
2003,M,10-19,Hispanic,AIDS,4
2003,M,10-19,Hispanic,Cerebrovascular Disease,6
2003,M,10-19,Hispanic,CLRD,12
2003,M,10-19,Hispanic,Diseases of the Heart,19
2003,M,10-19,Hispanic,Malignant Neoplasms,39
2003,M,10-19,Hispanic,Accidents,206
2003,M,10-19,Hispanic,All Other Causes,294
2003,M,10-19,Hispanic,Total,582
2003,M,20-24,Black Non Hispanic,All Other Causes,1
2003,M,20-24,Black Non Hispanic,Diseases of the Heart,1
2003,M,20-24,Black Non Hispanic,Total,2
2003,M,20-24,Hispanic,Pneumonia,1
2003,M,20-24,Hispanic,Cerebrovascular Disease,5
2003,M,20-24,Hispanic,CLRD,6
2003,M,20-24,Hispanic,AIDS,7
2003,M,20-24,Hispanic,Diseases of the Heart,25
2003,M,20-24,Hispanic,Malignant Neoplasms,40
2003,M,20-24,Hispanic,Accidents,234
2003,M,20-24,Hispanic,All Other Causes,380
2003,M,20-24,Hispanic,Total,698
2003,M,25-34,Black Non Hispanic,Accidents,1
2003,M,25-34,Black Non Hispanic,All Other Causes,2
2003,M,25-34,Black Non Hispanic,Total,3
2003,M,25-34,Hispanic,Diabetes Mellitus,1
2003,M,25-34,Hispanic,CLRD,17
2003,M,25-34,Hispanic,Pneumonia,19
2003,M,25-34,Hispanic,Cerebrovascular Disease,23
2003,M,25-34,Hispanic,AIDS,69
2003,M,25-34,Hispanic,Malignant Neoplasms,113
2003,M,25-34,Hispanic,Diseases of the Heart,125
2003,M,25-34,Hispanic,Accidents,339
2003,M,25-34,Hispanic,All Other Causes,779
2003,M,25-34,Hispanic,Total,1485
2003,M,25-34,Not Stated,All Other Causes,1
2003,M,25-34,Not Stated,Total,1
2003,M,25-34,White Non Hispanic,Accidents,1
2003,M,25-34,White Non Hispanic,All Other Causes,3
2003,M,25-34,White Non Hispanic,Total,4
2003,M,35-44,Black Non Hispanic,Diseases of the Heart,1
2003,M,35-44,Black Non Hispanic,Malignant Neoplasms,1
2003,M,35-44,Black Non Hispanic,All Other Causes,3
2003,M,35-44,Black Non Hispanic,Total,5
2003,M,35-44,Hispanic,Diabetes Mellitus,14
2003,M,35-44,Hispanic,CLRD,25
2003,M,35-44,Hispanic,Pneumonia,44
2003,M,35-44,Hispanic,Cerebrovascular Disease,70
2003,M,35-44,Hispanic,AIDS,335
2003,M,35-44,Hispanic,Accidents,420
2003,M,35-44,Hispanic,Malignant Neoplasms,435
2003,M,35-44,Hispanic,Diseases of the Heart,505
2003,M,35-44,Hispanic,All Other Causes,1234
2003,M,35-44,Hispanic,Total,3082
2003,M,35-44,Not Stated,Cerebrovascular Disease,1
2003,M,35-44,Not Stated,Malignant Neoplasms,1
2003,M,35-44,Not Stated,Total,2
2003,M,35-44,White Non Hispanic,Accidents,1
2003,M,35-44,White Non Hispanic,Diseases of the Heart,1
2003,M,35-44,White Non Hispanic,Pneumonia,1
2003,M,35-44,White Non Hispanic,All Other Causes,4
2003,M,35-44,White Non Hispanic,Total,7
2003,M,45-54,Black Non Hispanic,AIDS,1
2003,M,45-54,Black Non Hispanic,Accidents,1
2003,M,45-54,Black Non Hispanic,All Other Causes,1
2003,M,45-54,Black Non Hispanic,Pneumonia,1
2003,M,45-54,Black Non Hispanic,Malignant Neoplasms,3
2003,M,45-54,Black Non Hispanic,Diseases of the Heart,4
2003,M,45-54,Black Non Hispanic,Total,11
2003,M,45-54,Hispanic,Diabetes Mellitus,40
2003,M,45-54,Hispanic,CLRD,88
2003,M,45-54,Hispanic,Pneumonia,112
2003,M,45-54,Hispanic,Cerebrovascular Disease,171
2003,M,45-54,Hispanic,Accidents,403
2003,M,45-54,Hispanic,AIDS,468
2003,M,45-54,Hispanic,Diseases of the Heart,1529
2003,M,45-54,Hispanic,Malignant Neoplasms,1537
2003,M,45-54,Hispanic,All Other Causes,2110
2003,M,45-54,Hispanic,Total,6458
2003,M,45-54,Not Stated,Diseases of the Heart,1
2003,M,45-54,Not Stated,Malignant Neoplasms,1
2003,M,45-54,Not Stated,Total,2
2003,M,45-54,White Non Hispanic,AIDS,1
2003,M,45-54,White Non Hispanic,Accidents,2
2003,M,45-54,White Non Hispanic,Diseases of the Heart,2
2003,M,45-54,White Non Hispanic,Malignant Neoplasms,4
2003,M,45-54,White Non Hispanic,All Other Causes,5
2003,M,45-54,White Non Hispanic,Total,14
2003,M,55-64,Black Non Hispanic,Pneumonia,1
2003,M,55-64,Black Non Hispanic,Diseases of the Heart,3
2003,M,55-64,Black Non Hispanic,Malignant Neoplasms,3
2003,M,55-64,Black Non Hispanic,Total,7
2003,M,55-64,Hispanic,Diabetes Mellitus,81
2003,M,55-64,Hispanic,Pneumonia,155
2003,M,55-64,Hispanic,AIDS,182
2003,M,55-64,Hispanic,Accidents,255
2003,M,55-64,Hispanic,CLRD,297
2003,M,55-64,Hispanic,Cerebrovascular Disease,304
2003,M,55-64,Hispanic,All Other Causes,2130
2003,M,55-64,Hispanic,Diseases of the Heart,2822
2003,M,55-64,Hispanic,Malignant Neoplasms,3115
2003,M,55-64,Hispanic,Total,9341
2003,M,55-64,Not Stated,All Other Causes,2
2003,M,55-64,Not Stated,Total,2
2003,M,55-64,White Non Hispanic,CLRD,1
2003,M,55-64,White Non Hispanic,Cerebrovascular Disease,1
2003,M,55-64,White Non Hispanic,Malignant Neoplasms,1
2003,M,55-64,White Non Hispanic,Diseases of the Heart,7
2003,M,55-64,White Non Hispanic,All Other Causes,8
2003,M,55-64,White Non Hispanic,Total,18
2003,M,65-74,Black Non Hispanic,Accidents,1
2003,M,65-74,Black Non Hispanic,Cerebrovascular Disease,2
2003,M,65-74,Black Non Hispanic,All Other Causes,3
2003,M,65-74,Black Non Hispanic,Diseases of the Heart,5
2003,M,65-74,Black Non Hispanic,Malignant Neoplasms,5
2003,M,65-74,Black Non Hispanic,Total,16
2003,M,65-74,Hispanic,AIDS,39
2003,M,65-74,Hispanic,Diabetes Mellitus,112
2003,M,65-74,Hispanic,Accidents,237
2003,M,65-74,Hispanic,Pneumonia,360
2003,M,65-74,Hispanic,Cerebrovascular Disease,483
2003,M,65-74,Hispanic,CLRD,709
2003,M,65-74,Hispanic,All Other Causes,2621
2003,M,65-74,Hispanic,Malignant Neoplasms,4599
2003,M,65-74,Hispanic,Diseases of the Heart,4692
2003,M,65-74,Hispanic,Total,13852
2003,M,65-74,Not Stated,All Other Causes,1
2003,M,65-74,Not Stated,Diseases of the Heart,1
2003,M,65-74,Not Stated,Malignant Neoplasms,1
2003,M,65-74,Not Stated,Total,3
2003,M,65-74,Other Non Hispanic,All Other Causes,1
2003,M,65-74,Other Non Hispanic,Total,1
2003,M,65-74,White Non Hispanic,Pneumonia,1
2003,M,65-74,White Non Hispanic,CLRD,2
2003,M,65-74,White Non Hispanic,Diseases of the Heart,4
2003,M,65-74,White Non Hispanic,Malignant Neoplasms,6
2003,M,65-74,White Non Hispanic,All Other Causes,7
2003,M,65-74,White Non Hispanic,Total,20
2003,M,75-84,Black Non Hispanic,All Other Causes,1
2003,M,75-84,Black Non Hispanic,Cerebrovascular Disease,1
2003,M,75-84,Black Non Hispanic,Diseases of the Heart,1
2003,M,75-84,Black Non Hispanic,Total,3
2003,M,75-84,Hispanic,AIDS,9
2003,M,75-84,Hispanic,Diabetes Mellitus,134
2003,M,75-84,Hispanic,Accidents,339
2003,M,75-84,Hispanic,Pneumonia,820
2003,M,75-84,Hispanic,Cerebrovascular Disease,970
2003,M,75-84,Hispanic,CLRD,1217
2003,M,75-84,Hispanic,All Other Causes,4265
2003,M,75-84,Hispanic,Malignant Neoplasms,5304
2003,M,75-84,Hispanic,Diseases of the Heart,8339
2003,M,75-84,Hispanic,Total,21397
2003,M,75-84,Not Stated,All Other Causes,1
2003,M,75-84,Not Stated,Total,1
2003,M,75-84,Other Non Hispanic,Malignant Neoplasms,1
2003,M,75-84,Other Non Hispanic,Total,1
2003,M,75-84,White Non Hispanic,CLRD,1
2003,M,75-84,White Non Hispanic,Cerebrovascular Disease,1
2003,M,75-84,White Non Hispanic,Pneumonia,1
2003,M,75-84,White Non Hispanic,All Other Causes,8
2003,M,75-84,White Non Hispanic,Malignant Neoplasms,8
2003,M,75-84,White Non Hispanic,Diseases of the Heart,14
2003,M,75-84,White Non Hispanic,Total,33
2003,M,85+,Black Non Hispanic,All Other Causes,1
2003,M,85+,Black Non Hispanic,Diseases of the Heart,2
2003,M,85+,Black Non Hispanic,Total,3
2003,M,85+,Hispanic,AIDS,1
2003,M,85+,Hispanic,Diabetes Mellitus,56
2003,M,85+,Hispanic,Accidents,287
2003,M,85+,Hispanic,CLRD,689
2003,M,85+,Hispanic,Cerebrovascular Disease,785
2003,M,85+,Hispanic,Pneumonia,876
2003,M,85+,Hispanic,Malignant Neoplasms,2281
2003,M,85+,Hispanic,All Other Causes,3101
2003,M,85+,Hispanic,Diseases of the Heart,6865
2003,M,85+,Hispanic,Total,14941
2003,M,85+,Not Stated,Cerebrovascular Disease,1
2003,M,85+,Not Stated,Diseases of the Heart,1
2003,M,85+,Not Stated,Total,2
2003,M,85+,White Non Hispanic,Accidents,1
2003,M,85+,White Non Hispanic,Cerebrovascular Disease,2
2003,M,85+,White Non Hispanic,Pneumonia,2
2003,M,85+,White Non Hispanic,Malignant Neoplasms,3
2003,M,85+,White Non Hispanic,Diseases of the Heart,9
2003,M,85+,White Non Hispanic,All Other Causes,12
2003,M,85+,White Non Hispanic,Total,29
2003,M,<1,Black Non Hispanic,All Other Causes,4
2003,M,<1,Black Non Hispanic,Total,4
2003,M,<1,Hispanic,Malignant Neoplasms,2
2003,M,<1,Hispanic,Diseases of the Heart,10
2003,M,<1,Hispanic,Pneumonia,10
2003,M,<1,Hispanic,Accidents,14
2003,M,<1,Hispanic,All Other Causes,801
2003,M,<1,Hispanic,Total,837
2003,M,<1,Not Stated,All Other Causes,2
2003,M,<1,Not Stated,Total,2
2003,M,<1,White Non Hispanic,Accidents,1
2003,M,<1,White Non Hispanic,All Other Causes,2
2003,M,<1,White Non Hispanic,Total,3
2004,F,1-9,Hispanic,CLRD,2
2004,F,1-9,Hispanic,Cerebrovascular Disease,2
2004,F,1-9,Hispanic,Pneumonia,5
2004,F,1-9,Hispanic,Diseases of the Heart,7
2004,F,1-9,Hispanic,Accidents,27
2004,F,1-9,Hispanic,Malignant Neoplasms,32
2004,F,1-9,Hispanic,All Other Causes,80
2004,F,1-9,Hispanic,Total,155
2004,F,10-19,Hispanic,AIDS,4
2004,F,10-19,Hispanic,CLRD,5
2004,F,10-19,Hispanic,Cerebrovascular Disease,5
2004,F,10-19,Hispanic,Pneumonia,5
2004,F,10-19,Hispanic,Diseases of the Heart,12
2004,F,10-19,Hispanic,Malignant Neoplasms,31
2004,F,10-19,Hispanic,Accidents,90
2004,F,10-19,Hispanic,All Other Causes,121
2004,F,10-19,Hispanic,Total,273
2004,F,20-24,Hispanic,Diabetes Mellitus,1
2004,F,20-24,Hispanic,CLRD,2
2004,F,20-24,Hispanic,AIDS,3
2004,F,20-24,Hispanic,Cerebrovascular Disease,5
2004,F,20-24,Hispanic,Pneumonia,5
2004,F,20-24,Hispanic,Diseases of the Heart,12
2004,F,20-24,Hispanic,Malignant Neoplasms,22
2004,F,20-24,Hispanic,Accidents,42
2004,F,20-24,Hispanic,All Other Causes,106
2004,F,20-24,Hispanic,Total,198
2004,F,25-34,Hispanic,Diabetes Mellitus,6
2004,F,25-34,Hispanic,CLRD,10
2004,F,25-34,Hispanic,Pneumonia,11
2004,F,25-34,Hispanic,Cerebrovascular Disease,20
2004,F,25-34,Hispanic,AIDS,39
2004,F,25-34,Hispanic,Diseases of the Heart,47
2004,F,25-34,Hispanic,Accidents,66
2004,F,25-34,Hispanic,Malignant Neoplasms,120
2004,F,25-34,Hispanic,All Other Causes,327
2004,F,25-34,Hispanic,Total,646
2004,F,25-34,White Non Hispanic,All Other Causes,2
2004,F,25-34,White Non Hispanic,Total,2
2004,F,35-44,Black Non Hispanic,All Other Causes,2
2004,F,35-44,Black Non Hispanic,Total,2
2004,F,35-44,Hispanic,Diabetes Mellitus,11
2004,F,35-44,Hispanic,CLRD,33
2004,F,35-44,Hispanic,Pneumonia,34
2004,F,35-44,Hispanic,Cerebrovascular Disease,61
2004,F,35-44,Hispanic,Accidents,107
2004,F,35-44,Hispanic,AIDS,156
2004,F,35-44,Hispanic,Diseases of the Heart,216
2004,F,35-44,Hispanic,Malignant Neoplasms,568
2004,F,35-44,Hispanic,All Other Causes,697
2004,F,35-44,Hispanic,Total,1883
2004,F,35-44,White Non Hispanic,Diseases of the Heart,1
2004,F,35-44,White Non Hispanic,Malignant Neoplasms,1
2004,F,35-44,White Non Hispanic,Total,2
2004,F,45-54,Hispanic,Diabetes Mellitus,12
2004,F,45-54,Hispanic,Pneumonia,71
2004,F,45-54,Hispanic,CLRD,105
2004,F,45-54,Hispanic,Cerebrovascular Disease,127
2004,F,45-54,Hispanic,Accidents,130
2004,F,45-54,Hispanic,AIDS,172
2004,F,45-54,Hispanic,Diseases of the Heart,591
2004,F,45-54,Hispanic,All Other Causes,1168
2004,F,45-54,Hispanic,Malignant Neoplasms,1671
2004,F,45-54,Hispanic,Total,4047
2004,F,45-54,Not Stated,Cerebrovascular Disease,1
2004,F,45-54,Not Stated,Total,1
2004,F,45-54,White Non Hispanic,Cerebrovascular Disease,1
2004,F,45-54,White Non Hispanic,Malignant Neoplasms,1
2004,F,45-54,White Non Hispanic,Pneumonia,1
2004,F,45-54,White Non Hispanic,Total,3
2004,F,55-64,Black Non Hispanic,Diseases of the Heart,1
2004,F,55-64,Black Non Hispanic,Malignant Neoplasms,1
2004,F,55-64,Black Non Hispanic,Total,2
2004,F,55-64,Hispanic,Diabetes Mellitus,43
2004,F,55-64,Hispanic,AIDS,47
2004,F,55-64,Hispanic,Accidents,127
2004,F,55-64,Hispanic,Pneumonia,136
2004,F,55-64,Hispanic,Cerebrovascular Disease,201
2004,F,55-64,Hispanic,CLRD,283
2004,F,55-64,Hispanic,Diseases of the Heart,1420
2004,F,55-64,Hispanic,All Other Causes,1528
2004,F,55-64,Hispanic,Malignant Neoplasms,2949
2004,F,55-64,Hispanic,Total,6734
2004,F,55-64,Other Non Hispanic,All Other Causes,1
2004,F,55-64,Other Non Hispanic,Diseases of the Heart,1
2004,F,55-64,Other Non Hispanic,Total,2
2004,F,55-64,White Non Hispanic,Diseases of the Heart,1
2004,F,55-64,White Non Hispanic,Cerebrovascular Disease,2
2004,F,55-64,White Non Hispanic,Malignant Neoplasms,5
2004,F,55-64,White Non Hispanic,Total,8
2004,F,65-74,Black Non Hispanic,Malignant Neoplasms,1
2004,F,65-74,Black Non Hispanic,Total,1
2004,F,65-74,Hispanic,AIDS,18
2004,F,65-74,Hispanic,Diabetes Mellitus,89
2004,F,65-74,Hispanic,Accidents,154
2004,F,65-74,Hispanic,Pneumonia,260
2004,F,65-74,Hispanic,Cerebrovascular Disease,434
2004,F,65-74,Hispanic,CLRD,754
2004,F,65-74,Hispanic,All Other Causes,2338
2004,F,65-74,Hispanic,Diseases of the Heart,2906
2004,F,65-74,Hispanic,Malignant Neoplasms,4088
2004,F,65-74,Hispanic,Total,11041
2004,F,65-74,Not Stated,Diseases of the Heart,1
2004,F,65-74,Not Stated,Total,1
2004,F,65-74,Other Non Hispanic,Malignant Neoplasms,1
2004,F,65-74,Other Non Hispanic,Total,1
2004,F,65-74,White Non Hispanic,CLRD,2
2008,F,65-74,Hispanic,CLRD,711
2004,F,65-74,White Non Hispanic,All Other Causes,4
2004,F,65-74,White Non Hispanic,Malignant Neoplasms,6
2004,F,65-74,White Non Hispanic,Diseases of the Heart,7
2004,F,65-74,White Non Hispanic,Total,19
2004,F,75-84,Black Non Hispanic,CLRD,1
2004,F,75-84,Black Non Hispanic,Malignant Neoplasms,1
2004,F,75-84,Black Non Hispanic,Pneumonia,1
2004,F,75-84,Black Non Hispanic,All Other Causes,2
2004,F,75-84,Black Non Hispanic,Diseases of the Heart,4
2004,F,75-84,Black Non Hispanic,Total,9
2004,F,75-84,Hispanic,AIDS,4
2004,F,75-84,Hispanic,Diabetes Mellitus,126
2004,F,75-84,Hispanic,Accidents,310
2004,F,75-84,Hispanic,Pneumonia,849
2004,F,75-84,Hispanic,Cerebrovascular Disease,1280
2004,F,75-84,Hispanic,CLRD,1385
2004,F,75-84,Hispanic,All Other Causes,5074
2004,F,75-84,Hispanic,Malignant Neoplasms,5361
2004,F,75-84,Hispanic,Diseases of the Heart,8323
2004,F,75-84,Hispanic,Total,22712
2004,F,75-84,Not Stated,All Other Causes,1
2004,F,75-84,Not Stated,Total,1
2004,F,75-84,White Non Hispanic,CLRD,1
2004,F,75-84,White Non Hispanic,Cerebrovascular Disease,1
2004,F,75-84,White Non Hispanic,Pneumonia,1
2004,F,75-84,White Non Hispanic,Diseases of the Heart,4
2004,F,75-84,White Non Hispanic,All Other Causes,5
2004,F,75-84,White Non Hispanic,Malignant Neoplasms,7
2004,F,75-84,White Non Hispanic,Total,19
2004,F,85+,Black Non Hispanic,Diseases of the Heart,2
2004,F,85+,Black Non Hispanic,Total,2
2004,F,85+,Hispanic,Diabetes Mellitus,137
2004,F,85+,Hispanic,Accidents,410
2004,F,85+,Hispanic,CLRD,1142
2004,F,85+,Hispanic,Pneumonia,1736
2004,F,85+,Hispanic,Cerebrovascular Disease,2030
2004,F,85+,Hispanic,Malignant Neoplasms,3322
2004,F,85+,Hispanic,All Other Causes,7552
2004,F,85+,Hispanic,Diseases of the Heart,15253
2004,F,85+,Hispanic,Total,31582
2004,F,85+,Not Stated,All Other Causes,1
2004,F,85+,Not Stated,Pneumonia,1
2004,F,85+,Not Stated,Diseases of the Heart,3
2004,F,85+,Not Stated,Total,5
2004,F,85+,Other Non Hispanic,Cerebrovascular Disease,1
2004,F,85+,Other Non Hispanic,Total,1
2004,F,85+,White Non Hispanic,Accidents,1
2004,F,85+,White Non Hispanic,CLRD,2
2004,F,85+,White Non Hispanic,Cerebrovascular Disease,3
2004,F,85+,White Non Hispanic,Malignant Neoplasms,4
2004,F,85+,White Non Hispanic,Pneumonia,4
2004,F,85+,White Non Hispanic,All Other Causes,11
2004,F,85+,White Non Hispanic,Diseases of the Heart,18
2004,F,85+,White Non Hispanic,Total,43
2004,F,<1,Black Non Hispanic,All Other Causes,1
2004,F,<1,Black Non Hispanic,Total,1
2004,F,<1,Hispanic,Malignant Neoplasms,1
2004,F,<1,Hispanic,Pneumonia,2
2004,F,<1,Hispanic,Accidents,3
2004,F,<1,Hispanic,Cerebrovascular Disease,7
2004,F,<1,Hispanic,Diseases of the Heart,13
2004,F,<1,Hispanic,All Other Causes,621
2004,F,<1,Hispanic,Total,647
2004,F,<1,Not Stated,All Other Causes,1
2004,F,<1,Not Stated,Total,1
2004,F,<1,White Non Hispanic,All Other Causes,1
2004,F,<1,White Non Hispanic,Total,1
2004,M,1-9,Hispanic,AIDS,1
2004,M,1-9,Hispanic,CLRD,3
2004,M,1-9,Hispanic,Pneumonia,3
2004,M,1-9,Hispanic,Diseases of the Heart,4
2004,M,1-9,Hispanic,Malignant Neoplasms,27
2004,M,1-9,Hispanic,Accidents,62
2004,M,1-9,Hispanic,All Other Causes,103
2004,M,1-9,Hispanic,Total,203
2004,M,1-9,Not Stated,All Other Causes,1
2004,M,1-9,Not Stated,Total,1
2004,M,10-19,Black Non Hispanic,Accidents,1
2004,M,10-19,Black Non Hispanic,Total,1
2004,M,10-19,Hispanic,Cerebrovascular Disease,3
2004,M,10-19,Hispanic,AIDS,4
2004,M,10-19,Hispanic,Pneumonia,5
2004,M,10-19,Hispanic,CLRD,7
2004,M,10-19,Hispanic,Diseases of the Heart,16
2004,M,10-19,Hispanic,Malignant Neoplasms,37
2004,M,10-19,Hispanic,Accidents,196
2004,M,10-19,Hispanic,All Other Causes,248
2004,M,10-19,Hispanic,Total,516
2004,M,10-19,White Non Hispanic,Accidents,1
2004,M,10-19,White Non Hispanic,Total,1
2004,M,20-24,Hispanic,CLRD,5
2004,M,20-24,Hispanic,Pneumonia,7
2004,M,20-24,Hispanic,Cerebrovascular Disease,8
2004,M,20-24,Hispanic,AIDS,9
2004,M,20-24,Hispanic,Diseases of the Heart,17
2004,M,20-24,Hispanic,Malignant Neoplasms,48
2004,M,20-24,Hispanic,Accidents,191
2004,M,20-24,Hispanic,All Other Causes,394
2004,M,20-24,Hispanic,Total,679
2004,M,20-24,White Non Hispanic,Malignant Neoplasms,1
2004,M,20-24,White Non Hispanic,Total,1
2004,M,25-34,Black Non Hispanic,All Other Causes,1
2004,M,25-34,Black Non Hispanic,Total,1
2004,M,25-34,Hispanic,Diabetes Mellitus,1
2004,M,25-34,Hispanic,CLRD,10
2004,M,25-34,Hispanic,Pneumonia,13
2004,M,25-34,Hispanic,Cerebrovascular Disease,14
2004,M,25-34,Hispanic,AIDS,39
2004,M,25-34,Hispanic,Malignant Neoplasms,103
2004,M,25-34,Hispanic,Diseases of the Heart,123
2004,M,25-34,Hispanic,Accidents,298
2004,M,25-34,Hispanic,All Other Causes,742
2004,M,25-34,Hispanic,Total,1343
2004,M,25-34,White Non Hispanic,All Other Causes,1
2004,M,25-34,White Non Hispanic,Total,1
2004,M,35-44,Black Non Hispanic,All Other Causes,2
2004,M,35-44,Black Non Hispanic,Diseases of the Heart,2
2004,M,35-44,Black Non Hispanic,Total,4
2004,M,35-44,Hispanic,Diabetes Mellitus,19
2004,M,35-44,Hispanic,CLRD,26
2004,M,35-44,Hispanic,Pneumonia,37
2004,M,35-44,Hispanic,Cerebrovascular Disease,56
2004,M,35-44,Hispanic,AIDS,239
2004,M,35-44,Hispanic,Accidents,353
2004,M,35-44,Hispanic,Malignant Neoplasms,381
2004,M,35-44,Hispanic,Diseases of the Heart,481
2004,M,35-44,Hispanic,All Other Causes,1343
2004,M,35-44,Hispanic,Total,2935
2004,M,35-44,Not Stated,Accidents,1
2004,M,35-44,Not Stated,All Other Causes,1
2004,M,35-44,Not Stated,Cerebrovascular Disease,1
2004,M,35-44,Not Stated,Total,3
2004,M,35-44,White Non Hispanic,AIDS,1
2004,M,35-44,White Non Hispanic,Diseases of the Heart,1
2004,M,35-44,White Non Hispanic,Accidents,2
2004,M,35-44,White Non Hispanic,All Other Causes,4
2004,M,35-44,White Non Hispanic,Total,8
2004,M,45-54,Black Non Hispanic,All Other Causes,2
2004,M,45-54,Black Non Hispanic,Total,2
2004,M,45-54,Hispanic,Diabetes Mellitus,40
2004,M,45-54,Hispanic,CLRD,82
2004,M,45-54,Hispanic,Pneumonia,114
2004,M,45-54,Hispanic,Cerebrovascular Disease,174
2004,M,45-54,Hispanic,AIDS,350
2004,M,45-54,Hispanic,Accidents,351
2004,M,45-54,Hispanic,Malignant Neoplasms,1534
2004,M,45-54,Hispanic,Diseases of the Heart,1539
2004,M,45-54,Hispanic,All Other Causes,2176
2004,M,45-54,Hispanic,Total,6360
2004,M,45-54,Not Stated,All Other Causes,1
2004,M,45-54,Not Stated,Diseases of the Heart,2
2004,M,45-54,Not Stated,Total,3
2004,M,45-54,White Non Hispanic,AIDS,1
2004,M,45-54,White Non Hispanic,Diseases of the Heart,1
2004,M,45-54,White Non Hispanic,Malignant Neoplasms,1
2004,M,45-54,White Non Hispanic,All Other Causes,3
2004,M,45-54,White Non Hispanic,Total,6
2004,M,55-64,Black Non Hispanic,All Other Causes,1
2004,M,55-64,Black Non Hispanic,Cerebrovascular Disease,2
2004,M,55-64,Black Non Hispanic,Total,3
2004,M,55-64,Hispanic,Diabetes Mellitus,76
2004,M,55-64,Hispanic,AIDS,130
2004,M,55-64,Hispanic,Pneumonia,176
2004,M,55-64,Hispanic,Accidents,247
2004,M,55-64,Hispanic,Cerebrovascular Disease,266
2004,M,55-64,Hispanic,CLRD,289
2004,M,55-64,Hispanic,All Other Causes,2221
2004,M,55-64,Hispanic,Diseases of the Heart,2734
2004,M,55-64,Hispanic,Malignant Neoplasms,3224
2004,M,55-64,Hispanic,Total,9363
2004,M,55-64,Not Stated,Malignant Neoplasms,4
2004,M,55-64,Not Stated,Total,4
2004,M,55-64,White Non Hispanic,Accidents,1
2004,M,55-64,White Non Hispanic,Pneumonia,2
2004,M,55-64,White Non Hispanic,All Other Causes,3
2004,M,55-64,White Non Hispanic,Diseases of the Heart,5
2004,M,55-64,White Non Hispanic,Total,11
2004,M,65-74,Black Non Hispanic,CLRD,1
2004,M,65-74,Black Non Hispanic,Cerebrovascular Disease,1
2004,M,65-74,Black Non Hispanic,All Other Causes,2
2004,M,65-74,Black Non Hispanic,Malignant Neoplasms,2
2004,M,65-74,Black Non Hispanic,Total,6
2004,M,65-74,Hispanic,AIDS,38
2004,M,65-74,Hispanic,Diabetes Mellitus,92
2004,M,65-74,Hispanic,Accidents,221
2004,M,65-74,Hispanic,Pneumonia,340
2004,M,65-74,Hispanic,Cerebrovascular Disease,457
2004,M,65-74,Hispanic,CLRD,654
2004,M,65-74,Hispanic,All Other Causes,2629
2004,M,65-74,Hispanic,Diseases of the Heart,4209
2004,M,65-74,Hispanic,Malignant Neoplasms,4617
2004,M,65-74,Hispanic,Total,13257
2004,M,65-74,Not Stated,Diseases of the Heart,2
2004,M,65-74,Not Stated,All Other Causes,3
2004,M,65-74,Not Stated,Total,5
2004,M,65-74,White Non Hispanic,Cerebrovascular Disease,1
2004,M,65-74,White Non Hispanic,Malignant Neoplasms,2
2004,M,65-74,White Non Hispanic,CLRD,3
2004,M,65-74,White Non Hispanic,Diseases of the Heart,3
2004,M,65-74,White Non Hispanic,All Other Causes,5
2004,M,65-74,White Non Hispanic,Total,14
2004,M,75-84,Black Non Hispanic,Diseases of the Heart,1
2004,M,75-84,Black Non Hispanic,Malignant Neoplasms,1
2004,M,75-84,Black Non Hispanic,All Other Causes,2
2004,M,75-84,Black Non Hispanic,Total,4
2004,M,75-84,Hispanic,AIDS,5
